time,open,high,low,close,volume
2024-01-01T00:00:00Z,42000,42120,41950,42080,123.4
2024-01-01T00:01:00Z,42080,42200,42050,42190,156.2
2024-01-01T00:02:00Z,42190,42210,42100,42120,98.7
2024-01-01T00:03:00Z,42120,42300,42110,42280,145.1
2024-01-01T00:04:00Z,42280,42350,42200,42310,167.9
2024-01-01T00:05:00Z,42310,42380,42230,42250,134.5
2024-01-01T00:06:00Z,42250,42320,42190,42210,118.4
2024-01-01T00:07:00Z,42210,42400,42180,42390,160.3
2024-01-01T00:08:00Z,42390,42500,42300,42450,142.2
2024-01-01T00:09:00Z,42450,42480,42350,42380,132.8
2024-01-01T00:10:00Z,42380,42450,42290,42410,101.5
2024-01-01T00:11:00Z,42410,42480,42360,42470,109.9
2024-01-01T00:12:00Z,42470,42520,42400,42430,97.2
2024-01-01T00:13:00Z,42430,42580,42410,42570,148.6
2024-01-01T00:14:00Z,42570,42630,42500,42610,176.1
2024-01-01T00:15:00Z,42610,42680,42550,42650,162.0
2024-01-01T00:16:00Z,42650,42720,42600,42630,141.7
2024-01-01T00:17:00Z,42630,42690,42540,42580,120.2
2024-01-01T00:18:00Z,42580,42620,42510,42540,116.4
2024-01-01T00:19:00Z,42540,42610,42490,42590,133.1
2024-01-01T00:20:00Z,42590,42700,42560,42680,158.9
2024-01-01T00:21:00Z,42680,42740,42620,42710,146.8
2024-01-01T00:22:00Z,42710,42790,42660,42770,152.4
2024-01-01T00:23:00Z,42770,42820,42690,42720,139.3
2024-01-01T00:24:00Z,42720,42780,42640,42690,130.7
2024-01-01T00:25:00Z,42690,42750,42610,42650,121.9
2024-01-01T00:26:00Z,42650,42710,42600,42620,118.3
2024-01-01T00:27:00Z,42620,42680,42560,42590,110.5
2024-01-01T00:28:00Z,42590,42640,42520,42560,108.2
2024-01-01T00:29:00Z,42560,42610,42500,42520,105.6
